"Title"	"Pharmacophore-Fit Score"	"docking score"
"ZINC000012242595"	65.980	-12.383
"ZINC000408532857"	65.770	-12.191
"ZINC000223499124"	66.110	-12.134
"ZINC000003007754"	65.880	-12.034
"ZINC000016849560"	65.170	-12.031
"ZINC000016849555"	65.370	-12.013
"ZINC000306126559"	66.410	-11.776
"ZINC000223491803"	66.000	-11.767
"ZINC000002716537"	65.470	-11.759
"ZINC000306134726"	67.550	-11.735
"ZINC000019823869"	65.350	-11.719
"ZINC000016839000"	66.540	-11.718
"ZINC000009664925"	66.100	-11.677
"ZINC000306139895"	66.400	-11.672
"ZINC000023157795"	66.590	-11.629
"ZINC000102859753"	65.360	-11.629
"ZINC000100138711"	66.150	-11.614
"ZINC000009119642"	66.170	-11.612
"ZINC000015961746"	65.430	-11.609
"ZINC000009664922"	66.100	-11.574
"ZINC000408675116"	65.260	-11.568
"ZINC000020330402"	66.180	-11.559
"ZINC000008723612"	65.550	-11.552
"ZINC000008965845"	65.740	-11.516
"ZINC000408796380"	65.530	-11.516
"ZINC000012973601"	65.970	-11.497
"ZINC000096037958"	66.150	-11.485
"ZINC000015004159"	66.220	-11.482
"ZINC000012446206"	65.280	-11.471
"ZINC000024202273"	65.210	-11.466
"ZINC000225042231"	65.550	-11.464
"ZINC000101287523"	65.850	-11.459
"ZINC000067216512"	64.600	-11.456
"ZINC000016839072"	67.030	-11.438
"ZINC000016226212"	65.750	-11.438
"ZINC000002878895"	65.110	-11.404
"ZINC000096193433"	66.490	-11.402
"ZINC000022854571"	66.240	-11.366
"ZINC000222673991"	65.820	-11.360
"ZINC000014672513"	66.110	-11.345
"ZINC000022626905"	66.050	-11.338
"ZINC000009410933"	65.940	-11.336
"ZINC000022854573"	65.770	-11.333
"ZINC000048267907"	65.780	-11.332
"ZINC000096318697"	66.400	-11.331
"ZINC000036364963"	65.200	-11.330
"ZINC000004549677"	65.590	-11.325
"ZINC000009272784"	65.940	-11.321
"ZINC000009410953"	65.940	-11.313
"ZINC000070461311"	65.440	-11.310
"ZINC000019907733"	65.230	-11.309
"ZINC000023157790"	65.640	-11.297
"ZINC000009498685"	65.720	-11.295
"ZINC000096193512"	65.800	-11.295
"ZINC000016839013"	66.580	-11.290
"ZINC000023157406"	75.620	-11.284
"ZINC000023157429"	75.850	-11.273
"ZINC000016839019"	66.880	-11.267
"ZINC000012149796"	66.240	-11.265
"ZINC000009309185"	66.330	-11.265
"ZINC000022609612"	65.920	-11.263
"ZINC000020539770"	65.480	-11.262
"ZINC000023157666"	66.780	-11.258
"ZINC000102727011"	64.970	-11.257
"ZINC000013644481"	65.550	-11.253
"ZINC000205949754"	66.290	-11.239
"ZINC000408641720"	66.000	-11.235
"ZINC000022627169"	65.910	-11.234
"ZINC000022627229"	65.710	-11.234
"ZINC000016839002"	66.560	-11.227
"ZINC000009382957"	65.550	-11.225
"ZINC000023157858"	66.200	-11.225
"ZINC000102509946"	76.150	-11.221
"ZINC000022854549"	75.770	-11.212
"ZINC000023157417"	75.990	-11.211
"ZINC000006919763"	65.380	-11.210
"ZINC000096154798"	65.720	-11.209
"ZINC000002639672"	66.070	-11.205
"ZINC000408568537"	75.820	-11.204
"ZINC000299771919"	66.060	-11.203
"ZINC000041085788"	65.500	-11.196
"ZINC000023157772"	75.960	-11.195
"ZINC000023157273"	65.740	-11.195
"ZINC000056936092"	66.770	-11.193
"ZINC000002655354"	65.190	-11.193
"ZINC000035844057"	65.560	-11.192
"ZINC000022627206"	65.930	-11.188
"ZINC000002639673"	64.330	-11.184
"ZINC000409103980"	66.490	-11.184
"ZINC000038784202"	65.590	-11.176
"ZINC000253471506"	66.960	-11.176
"ZINC000257244479"	67.070	-11.175
"ZINC000039442962"	65.600	-11.170
"ZINC000245242250"	66.470	-11.170
"ZINC000408639377"	65.830	-11.170
"ZINC000001111613"	65.230	-11.162
"ZINC000041085879"	65.720	-11.157
"ZINC000022609544"	65.670	-11.153
"ZINC000252552559"	64.860	-11.152
"ZINC000224160928"	65.290	-11.148
"ZINC000096155176"	66.730	-11.145
"ZINC000001413168"	65.960	-11.143
"ZINC000057347814"	66.040	-11.141
"ZINC000095474343"	67.340	-11.139
"ZINC000023157423"	76.120	-11.132
"ZINC000022626868"	65.610	-11.130
"ZINC000009967545"	65.290	-11.129
"ZINC000014704908"	65.250	-11.128
"ZINC000018223041"	66.150	-11.123
"ZINC000001324811"	66.040	-11.122
"ZINC000009110420"	65.240	-11.122
"ZINC000012771526"	66.720	-11.120
"ZINC000058157692"	75.840	-11.120
"ZINC000002659468"	65.560	-11.119
"ZINC000226861691"	65.850	-11.110
"ZINC000009516547"	65.770	-11.107
"ZINC000096154908"	66.400	-11.106
"ZINC000033175329"	65.860	-11.102
"ZINC000033106802"	65.420	-11.099
"ZINC000005732776"	65.670	-11.092
"ZINC000021356481"	65.750	-11.084
"ZINC000012942879"	65.950	-11.084
"ZINC000257276705"	66.340	-11.081
"ZINC000041085876"	65.720	-11.081
"ZINC000008892634"	65.390	-11.080
"ZINC000101459046"	65.680	-11.079
"ZINC000022854944"	66.170	-11.075
"ZINC000012336991"	65.600	-11.071
