"Title"	"docking score"	"MMGBSA dG Bind"
"ZINC000019743739"	-10.590	-96.472
"ZINC000408697290"	-10.676	-94.282
"ZINC000009498685"	-11.295	-92.867
"ZINC000020330402"	-11.559	-91.861
"ZINC000000914563"	-10.818	-91.419
"ZINC000009224485"	-10.174	-90.947
"ZINC000057314118"	-10.263	-90.590
"ZINC000016694892"	-10.335	-90.461
"ZINC000012442643"	-10.244	-90.234
"ZINC000028937618"	-10.184	-89.643
"ZINC000020211196"	-10.799	-89.529
"ZINC000032964238"	-10.658	-89.227
"ZINC000010441329"	-10.907	-89.030
"ZINC000019799289"	-10.585	-88.529
"ZINC000010433568"	-10.270	-88.349
"ZINC000022064991"	-10.061	-88.267
"ZINC000032964436"	-10.712	-88.235
"ZINC000261366069"	-10.456	-88.223
"ZINC000032964447"	-10.937	-88.158
"ZINC000072230084"	-10.797	-87.859
"ZINC000090610158"	-10.231	-87.836
"ZINC000022854573"	-11.333	-87.743
"ZINC000408697116"	-10.222	-87.724
"ZINC000061969181"	-10.296	-87.649
"ZINC000021727012"	-10.660	-87.470
"ZINC000032964236"	-10.510	-87.321
"ZINC000010433573"	-10.258	-87.219
"ZINC000001221693"	-10.275	-87.209
"ZINC000021356481"	-11.084	-87.180
"ZINC000020442508"	-10.445	-86.913
"ZINC000016742441"	-10.434	-86.907
"ZINC000006719731"	-10.969	-86.830
"ZINC000408641720"	-11.235	-86.792
"ZINC000015004159"	-11.482	-86.642
"ZINC000012995028"	-10.099	-86.478
"ZINC000000656191"	-10.853	-86.465
"ZINC000009860876"	-10.304	-86.198
"ZINC000011617046"	-10.744	-86.138
"ZINC000001223922"	-10.061	-86.077
"ZINC000009467346"	-10.727	-86.075
"ZINC000038784202"	-11.176	-86.024
"ZINC000022709925"	-10.070	-85.981
"ZINC000023157858"	-11.225	-85.898
"ZINC000408639377"	-11.170	-85.889
"ZINC000020414208"	-10.903	-85.872
"ZINC000025783468"	-11.032	-85.838
"ZINC000409414030"	-10.222	-85.819
"ZINC000022854571"	-11.366	-85.593
"ZINC000022854549"	-11.212	-85.561
"ZINC000009043923"	-10.341	-85.549
"ZINC000012414523"	-10.062	-85.493
"ZINC000020215994"	-11.047	-85.422
"ZINC000033643881"	-11.000	-85.393
"ZINC000025665877"	-10.322	-85.305
"ZINC000408695831"	-10.325	-85.296
"ZINC000041076260"	-10.246	-85.157
"ZINC000008609126"	-10.433	-85.145
"ZINC000013519818"	-10.285	-85.093
"ZINC000010433575"	-10.009	-85.084
"ZINC000041076258"	-10.927	-85.058
"ZINC000008955137"	-10.200	-85.057
"ZINC000009190928"	-10.362	-85.036
"ZINC000408661909"	-10.080	-85.014
"ZINC000023157897"	-10.979	-84.987
"ZINC000306134726"	-11.735	-84.970
"ZINC000096154908"	-11.106	-84.923
"ZINC000227143299"	-10.225	-84.883
"ZINC000009669505"	-10.639	-84.825
"ZINC000005032533"	-10.279	-84.817
"ZINC000023157772"	-11.195	-84.806
"ZINC000027022575"	-10.030	-84.770
"ZINC000041085788"	-11.196	-84.760
"ZINC000035169537"	-10.474	-84.738
"ZINC000067217915"	-10.952	-84.576
"ZINC000408629907"	-10.310	-84.552
"ZINC000227143914"	-10.012	-84.500
"ZINC000101459046"	-11.079	-84.492
"ZINC000002889391"	-10.201	-84.377
"ZINC000057487294"	-10.265	-84.334
"ZINC000036051115"	-10.324	-84.326
"ZINC000012781402"	-10.950	-84.311
"ZINC000009974155"	-10.029	-84.301
"ZINC000000990910"	-10.543	-84.267
"ZINC000216942343"	-10.768	-84.148
"ZINC000036346322"	-10.052	-84.077
"ZINC000009233789"	-10.832	-84.013
"ZINC000102175592"	-10.634	-83.879
"ZINC000041085879"	-11.157	-83.868
"ZINC000002854621"	-10.497	-83.837
"ZINC000004667821"	-10.309	-83.823
"ZINC000096193512"	-11.295	-83.774
"ZINC000101287523"	-11.459	-83.757
"ZINC000020563224"	-10.221	-83.753
"ZINC000019972759"	-10.728	-83.753
"ZINC000016285126"	-10.971	-83.743
"ZINC000096194429"	-10.202	-83.716
"ZINC000057315943"	-10.209	-83.700
"ZINC000000613446"	-10.385	-83.685
"ZINC000102878325"	-10.153	-83.650
"ZINC000019759388"	-10.588	-83.638
"ZINC000001173596"	-10.092	-83.579
"ZINC000409093040"	-10.197	-83.578
"ZINC000100877352"	-10.145	-83.530
"ZINC000006679392"	-10.300	-83.528
"ZINC000032740624"	-10.286	-83.521
"ZINC000009067694"	-10.122	-83.428
"ZINC000585091797"	-10.284	-83.421
"ZINC000006802323"	-10.424	-83.316
"ZINC000409189772"	-10.112	-83.302
"ZINC000032622119"	-10.589	-83.275
"ZINC000024746963"	-10.582	-83.250
"ZINC000409206694"	-10.301	-83.212
