"Title"	"Pharmacophore-Fit Score"	"docking score"
"ZINC000009375995"	64.710	-12.639
"ZINC000019534898"	65.850	-12.376
"ZINC000008832538"	65.830	-12.148
"ZINC001775978556"	76.310	-12.050
"ZINC000095726700"	76.460	-11.953
"ZINC000095726704"	76.850	-11.918
"ZINC000020760581"	65.320	-11.912
"ZINC000051357451"	65.330	-11.903
"ZINC000008395920"	65.380	-11.884
"ZINC000012637262"	66.050	-11.850
"ZINC000028535424"	66.210	-11.848
"ZINC000000990057"	65.660	-11.832
"ZINC000059105954"	65.680	-11.830
"ZINC000004275220"	65.440	-11.829
"ZINC000010441329"	65.520	-11.821
"ZINC000019016755"	76.050	-11.790
"ZINC000021784996"	65.190	-11.788
"ZINC000014057205"	65.510	-11.780
"ZINC000222830973"	65.370	-11.750
"ZINC000025783468"	97.260	-11.737
"ZINC000426628268"	65.380	-11.726
"ZINC000067833637"	64.970	-11.723
"ZINC000071774437"	65.510	-11.713
"ZINC000426628266"	65.360	-11.706
"ZINC000100213087"	65.480	-11.702
"ZINC000067982918"	66.230	-11.676
"ZINC000065408873"	65.440	-11.674
"ZINC000585107745"	65.350	-11.643
"ZINC000033175329"	65.860	-11.642
"ZINC000023156834"	66.160	-11.612
"ZINC000032952152"	64.500	-11.610
"ZINC000013942699"	65.910	-11.581
"ZINC000009439096"	66.010	-11.579
"ZINC000067673182"	65.370	-11.574
"ZINC000019879852"	65.630	-11.561
"ZINC000001694535"	65.490	-11.557
"ZINC000091931283"	65.590	-11.556
"ZINC000426652182"	65.730	-11.555
"ZINC000257233423"	65.830	-11.555
"ZINC000019376498"	65.750	-11.544
"ZINC000001138039"	65.780	-11.539
"ZINC000224232528"	65.800	-11.538
"ZINC000000646418"	64.330	-11.532
"ZINC000033848576"	87.440	-11.528
"ZINC000001354534"	65.330	-11.518
"ZINC000426526009"	66.070	-11.510
"ZINC000013225629"	66.310	-11.509
"ZINC000334161059"	66.260	-11.509
"ZINC000055245030"	65.890	-11.500
"ZINC000820569507"	65.490	-11.496
"ZINC000008484533"	66.470	-11.487
"ZINC000257232150"	65.330	-11.485
"ZINC000095475774"	66.180	-11.479
"ZINC000005948166"	65.940	-11.469
"ZINC000426528069"	65.640	-11.467
"ZINC000072149877"	66.120	-11.467
"ZINC000000639468"	65.250	-11.464
"ZINC000008927796"	65.980	-11.459
"ZINC000409215196"	66.250	-11.454
"ZINC000013727779"	65.260	-11.443
"ZINC000077419351"	66.230	-11.440
"ZINC000409199969"	66.230	-11.439
"ZINC000071762575"	65.460	-11.437
"ZINC000067654429"	65.290	-11.419
"ZINC000012134311"	66.370	-11.415
"ZINC000014951029"	65.700	-11.411
"ZINC000019823869"	65.350	-11.410
"ZINC000004626339"	64.200	-11.404
"ZINC000009716771"	66.510	-11.401
"ZINC000225376503"	75.550	-11.396
"ZINC000028297127"	65.630	-11.395
"ZINC000012154118"	65.730	-11.378
"ZINC000016125469"	65.580	-11.376
"ZINC000009110420"	65.240	-11.375
"ZINC000002396330"	65.550	-11.370
"ZINC000004812404"	65.680	-11.369
"ZINC000012390179"	66.110	-11.365
"ZINC000000645150"	66.580	-11.364
"ZINC000033175317"	65.790	-11.359
"ZINC000015225509"	65.780	-11.356
"ZINC001775978342"	76.090	-11.342
"ZINC000000814781"	66.270	-11.339
"ZINC000021784851"	65.310	-11.338
"ZINC000032089252"	66.380	-11.332
"ZINC000009449885"	65.150	-11.326
"ZINC000067605229"	64.980	-11.324
"ZINC000012134321"	66.100	-11.314
"ZINC000011664394"	64.890	-11.313
"ZINC000106234316"	65.970	-11.310
"ZINC000067787840"	65.830	-11.309
"ZINC000257216107"	65.930	-11.292
"ZINC000426730397"	67.160	-11.292
"ZINC000035316618"	66.040	-11.286
"ZINC000023138265"	66.460	-11.281
"ZINC000000785474"	66.040	-11.272
"ZINC000058647950"	65.710	-11.266
"ZINC000584901299"	66.060	-11.257
"ZINC000004585229"	75.510	-11.254
"ZINC000012890780"	65.990	-11.251
"ZINC000102933479"	66.230	-11.251
"ZINC000012716528"	65.600	-11.250
"ZINC000013116906"	66.100	-11.248
"ZINC000013690381"	77.000	-11.247
"ZINC000004556248"	65.680	-11.236
"ZINC000004556241"	65.570	-11.235
"ZINC000019762423"	67.320	-11.234
"ZINC000261363707"	66.270	-11.233
"ZINC000409409314"	75.840	-11.227
"ZINC001529168148"	66.640	-11.226
"ZINC000013471621"	66.940	-11.226
"ZINC000534676038"	66.630	-11.221
"ZINC000001154702"	65.790	-11.220
"ZINC000408700742"	65.260	-11.209
"ZINC000012375380"	65.620	-11.207
"ZINC000192955622"	65.920	-11.207
"ZINC000096024629"	66.920	-11.205
"ZINC000009445594"	65.590	-11.201
"ZINC000409124024"	66.370	-11.200
"ZINC000004773787"	86.270	-11.199
"ZINC000009455304"	66.800	-11.199
"ZINC000004999673"	64.620	-11.192
"ZINC000008708607"	66.030	-11.192
"ZINC000026089778"	74.700	-11.192
"ZINC000013372616"	65.920	-11.191
"ZINC000008657325"	66.030	-11.190
"ZINC000004828935"	65.430	-11.187
"ZINC000027916234"	66.200	-11.183
"ZINC000021006183"	65.420	-11.183
"ZINC000010060235"	64.490	-11.175
"ZINC000409215143"	66.530	-11.173
"ZINC000020418173"	65.620	-11.172
"ZINC000035563629"	65.740	-11.167
"ZINC000072350328"	65.740	-11.162
"ZINC000408821207"	65.230	-11.155
"ZINC000000781555"	65.890	-11.153
"ZINC000002859056"	66.280	-11.146
"ZINC000055060954"	65.610	-11.141
"ZINC000009426105"	65.950	-11.140
"ZINC000002813552"	66.110	-11.139
"ZINC000020565801"	65.790	-11.137
"ZINC000257318355"	65.970	-11.136
"ZINC000091680444"	65.470	-11.136
"ZINC000004899283"	65.560	-11.135
"ZINC000071746267"	66.450	-11.132
"ZINC000015019019"	66.020	-11.131
"ZINC000000572970"	64.140	-11.130
"ZINC000019719318"	66.300	-11.128
"ZINC000009664925"	66.100	-11.127
"ZINC000008769269"	65.810	-11.124
"ZINC000261364173"	66.220	-11.122
"ZINC000021785008"	65.210	-11.121
"ZINC000096113886"	66.740	-11.120
"ZINC000013476548"	96.030	-11.119
"ZINC000008965650"	66.180	-11.118
"ZINC000017101735"	66.330	-11.117
"ZINC000002640020"	65.890	-11.116
"ZINC000001424840"	65.340	-11.113
"ZINC000057487770"	67.090	-11.113
"ZINC000408981108"	64.580	-11.111
"ZINC000003430331"	66.030	-11.108
"ZINC000001324505"	67.020	-11.105
"ZINC000041170821"	64.290	-11.098
"ZINC000019568477"	66.320	-11.095
"ZINC000067216512"	64.600	-11.091
"ZINC000002529489"	66.630	-11.089
"ZINC000009689775"	76.300	-11.089
"ZINC000257213175"	65.350	-11.088
"ZINC000426478286"	66.020	-11.088
"ZINC000091409999"	66.260	-11.088
"ZINC000008510451"	65.890	-11.088
"ZINC000014273488"	65.940	-11.085
"ZINC000095726672"	66.840	-11.084
"ZINC000018203865"	66.750	-11.079
"ZINC000002639672"	66.070	-11.075
"ZINC000004166301"	66.570	-11.073
"ZINC000408932270"	64.890	-11.072
"ZINC000000638291"	75.780	-11.071
"ZINC000009159589"	65.600	-11.071
"ZINC000408629194"	65.950	-11.068
"ZINC000020971191"	65.320	-11.068
"ZINC000002621693"	66.300	-11.063
"ZINC000003471925"	65.540	-11.063
"ZINC000022884243"	66.200	-11.058
"ZINC000064859588"	76.200	-11.048
"ZINC001775970528"	66.090	-11.046
"ZINC000036364874"	65.690	-11.045
"ZINC000012714288"	65.660	-11.043
"ZINC000031192012"	66.010	-11.041
"ZINC000021131218"	65.340	-11.038
"ZINC000100137732"	66.110	-11.037
"ZINC000000555697"	65.880	-11.036
"ZINC000261361585"	66.510	-11.035
"ZINC000008491633"	66.060	-11.024
"ZINC000067285421"	66.540	-11.024
"ZINC000096155664"	65.840	-11.022
"ZINC000002684819"	66.150	-11.022
"ZINC000004123133"	66.140	-11.019
"ZINC000426662358"	65.620	-11.019
"ZINC000426634276"	64.800	-11.019
"ZINC000003007667"	77.000	-11.019
"ZINC000013060194"	64.910	-11.018
