"Title"	"docking score"	"MMGBSA dG Bind"
"ZINC000005360230"	-10.281	-94.508
"ZINC000261366069"	-10.858	-93.048
"ZINC000095726700"	-11.953	-91.766
"ZINC000032952152"	-11.610	-91.210
"ZINC000001447962"	-10.064	-88.243
"ZINC000095726704"	-11.918	-88.226
"ZINC000257234451"	-10.679	-87.781
"ZINC000012390096"	-10.118	-87.505
"ZINC000095475774"	-11.479	-87.338
"ZINC000004340744"	-10.197	-86.814
"ZINC000095726687"	-10.797	-86.093
"ZINC000035684143"	-10.395	-86.087
"ZINC000004479070"	-10.466	-86.084
"ZINC000008790029"	-10.435	-85.665
"ZINC000036160967"	-10.047	-85.631
"ZINC000257318356"	-10.685	-85.490
"ZINC000299817288"	-10.801	-85.218
"ZINC000010060235"	-11.175	-85.204
"ZINC000409103980"	-10.555	-84.841
"ZINC000257312902"	-10.677	-84.753
"ZINC000585261333"	-10.046	-84.391
"ZINC000067299671"	-10.827	-84.373
"ZINC000095478987"	-11.014	-84.339
"ZINC000001455567"	-10.236	-84.274
"ZINC000071746267"	-11.132	-84.237
"ZINC000010035032"	-10.834	-84.200
"ZINC000001667313"	-10.236	-84.161
"ZINC000225731115"	-10.245	-84.117
"ZINC000008035123"	-10.118	-83.809
"ZINC000012885574"	-10.611	-83.739
"ZINC000065215632"	-10.757	-83.578
"ZINC000257336514"	-10.025	-83.502
"ZINC000003065074"	-10.509	-83.497
"ZINC000009384822"	-10.456	-83.437
"ZINC000409246292"	-10.151	-83.429
"ZINC000408549241"	-10.751	-83.018
"ZINC000585177739"	-10.686	-83.003
"ZINC000257318355"	-11.136	-82.944
"ZINC000067258137"	-10.351	-82.699
"ZINC000575415321"	-10.862	-82.667
"ZINC000004328130"	-10.253	-82.503
"ZINC000409192196"	-10.498	-82.430
"ZINC000009323733"	-10.117	-82.414
"ZINC000009467346"	-10.760	-82.173
"ZINC000057135144"	-10.246	-82.147
"ZINC000006245211"	-10.568	-82.114
"ZINC000013943298"	-10.427	-82.102
"ZINC000007342524"	-10.369	-81.882
"ZINC000091391412"	-10.474	-81.744
"ZINC000067258078"	-10.572	-81.677
"ZINC000004664921"	-10.325	-81.529
"ZINC000408932270"	-11.072	-81.452
"ZINC000025665877"	-10.491	-81.437
"ZINC000012776136"	-10.664	-81.417
"ZINC000077197891"	-10.621	-81.232
"ZINC000426372528"	-10.760	-81.166
"ZINC000257294848"	-10.963	-81.021
"ZINC000057487770"	-11.113	-81.013
"ZINC000409127605"	-10.412	-81.001
"ZINC000005432300"	-10.747	-80.865
"ZINC000257319812"	-10.426	-80.832
"ZINC000095726645"	-10.664	-80.761
"ZINC000028535424"	-11.848	-80.749
"ZINC000022109228"	-10.938	-80.690
"ZINC000003043587"	-10.468	-80.635
"ZINC000002116481"	-10.463	-80.612
"ZINC000170624789"	-10.161	-80.578
"ZINC000008393140"	-10.313	-80.563
"ZINC000013721270"	-10.130	-80.417
"ZINC000257212460"	-10.955	-80.416
"ZINC000013343114"	-10.186	-80.403
"ZINC000096024627"	-10.492	-80.380
"ZINC000000814781"	-11.339	-80.369
"ZINC000000715396"	-10.994	-80.341
"ZINC000426739107"	-10.773	-80.331
"ZINC000020744367"	-10.490	-80.323
"ZINC000225749229"	-10.182	-80.252
"ZINC000524731293"	-10.069	-80.238
"ZINC000257283754"	-10.961	-80.129
"ZINC000005032533"	-10.348	-80.091
"ZINC000014704908"	-10.937	-80.076
"ZINC000215027515"	-10.195	-80.061
"ZINC000067258059"	-10.399	-80.055
"ZINC000021138751"	-10.691	-80.036
"ZINC000071746320"	-10.566	-79.992
"ZINC000009085405"	-10.541	-79.981
"ZINC000005948166"	-11.469	-79.869
