"Title"	"docking score"	"MMGBSA dG Bind"
"ZINC000012442636"	-10.941	-108.458
"ZINC000020066886"	-10.641	-107.369
"ZINC000013691966"	-10.628	-107.132
"ZINC000013719560"	-11.186	-105.602
"ZINC000001328349"	-10.588	-105.165
"ZINC000020567579"	-11.139	-104.651
"ZINC000012442653"	-10.816	-104.322
"ZINC000057122033"	-11.255	-103.732
"ZINC000054313281"	-10.992	-103.508
"ZINC000057128670"	-11.053	-102.820
"ZINC000025783468"	-11.461	-102.819
"ZINC000027023095"	-10.453	-102.457
"ZINC000032964238"	-11.156	-102.418
"ZINC000048985882"	-10.623	-102.263
"ZINC000032964226"	-11.192	-102.024
"ZINC000054313346"	-11.193	-101.606
"ZINC000003051675"	-11.500	-101.182
"ZINC000012442627"	-11.348	-101.161
"ZINC000019912569"	-11.030	-101.132
"ZINC000054313277"	-10.577	-100.917
"ZINC000408571789"	-12.075	-100.798
"ZINC000032964431"	-10.674	-100.776
"ZINC000012442625"	-10.907	-100.756
"ZINC000032964436"	-10.959	-100.554
"ZINC000061969181"	-10.276	-100.459
"ZINC000023040007"	-10.791	-100.450
"ZINC000584906267"	-10.861	-100.433
"ZINC000032964236"	-11.290	-100.397
"ZINC000020717646"	-11.213	-100.386
"ZINC000040478436"	-11.080	-100.354
"ZINC000059352726"	-10.562	-100.311
"ZINC000013519818"	-11.129	-100.190
"ZINC000057128668"	-10.181	-100.188
"ZINC000022109228"	-10.910	-100.001
"ZINC000016525674"	-10.456	-99.794
"ZINC000057503160"	-11.249	-99.729
"ZINC000019714345"	-10.886	-99.407
"ZINC000054313336"	-10.757	-98.935
"ZINC000054313279"	-10.946	-98.781
"ZINC000012442643"	-10.869	-98.763
"ZINC000013476548"	-11.967	-98.751
"ZINC000002183264"	-10.076	-98.630
"ZINC000002713446"	-10.012	-98.623
"ZINC000012907452"	-10.289	-98.530
"ZINC000001244354"	-10.912	-98.400
"ZINC000010140851"	-10.299	-98.349
"ZINC000012442572"	-10.195	-98.336
"ZINC000067245370"	-11.533	-98.283
"ZINC000013593065"	-10.216	-98.166
"ZINC000032100740"	-10.655	-98.141
"ZINC000095384429"	-10.618	-98.102
"ZINC000009157727"	-11.210	-97.989
"ZINC000012892857"	-10.815	-97.906
"ZINC000038487246"	-11.293	-97.892
"ZINC000041076313"	-10.696	-97.645
"ZINC000013607685"	-11.792	-97.613
"ZINC000021152135"	-10.304	-97.607
"ZINC000057426357"	-10.874	-97.513
"ZINC000013476550"	-11.617	-97.477
"ZINC000032964447"	-10.848	-97.442
"ZINC000013519813"	-11.015	-97.329
"ZINC000408571923"	-10.749	-97.199
"ZINC000051357785"	-11.206	-97.194
"ZINC000020211196"	-10.811	-97.138
"ZINC000040134875"	-11.551	-97.129
"ZINC000002704093"	-10.532	-97.086
"ZINC000032964435"	-10.654	-97.083
"ZINC000003007755"	-11.258	-97.024
"ZINC000028766051"	-11.732	-96.990
"ZINC000010451375"	-10.818	-96.970
"ZINC000067262704"	-10.354	-96.953
"ZINC000017098678"	-10.021	-96.945
"ZINC000020650884"	-11.277	-96.893
"ZINC000058088548"	-10.431	-96.765
"ZINC000004905859"	-11.051	-96.744
"ZINC000003286534"	-10.815	-96.626
"ZINC000064949645"	-10.953	-96.580
"ZINC000019879852"	-11.050	-96.527
"ZINC000008905121"	-10.344	-96.458
"ZINC000408630447"	-10.620	-96.428
"ZINC000003015518"	-12.030	-96.323
"ZINC000022698078"	-10.657	-96.296
"ZINC000257312831"	-10.420	-96.258
"ZINC000095478987"	-10.677	-96.199
"ZINC000007268510"	-10.993	-96.193
"ZINC000020643646"	-11.253	-96.105
"ZINC000009123958"	-10.667	-96.101
"ZINC000585294722"	-11.199	-96.061
"ZINC000013494498"	-11.480	-96.035
"ZINC000057405808"	-10.201	-95.989
"ZINC000111931096"	-10.870	-95.901
"ZINC000013114667"	-10.852	-95.882
"ZINC000009627781"	-10.210	-95.712
"ZINC000057128682"	-10.545	-95.663
"ZINC000019762743"	-10.265	-95.655
"ZINC001772805861"	-10.585	-95.600
"ZINC000014532407"	-11.256	-95.540
"ZINC000020746075"	-10.914	-95.463
"ZINC000016806462"	-10.742	-95.449
"ZINC000013785893"	-10.636	-95.449
"ZINC000019761199"	-10.494	-95.416
"ZINC000224724755"	-10.883	-95.413
"ZINC000011692363"	-10.738	-95.400
"ZINC000225042231"	-11.074	-95.376
"ZINC000033848576"	-11.538	-95.366
"ZINC000032102781"	-11.407	-95.348
"ZINC000005518920"	-11.167	-95.333
"ZINC000030691168"	-11.061	-95.257
"ZINC000012389613"	-10.402	-95.189
"ZINC000020114257"	-11.485	-95.174
"ZINC000306134726"	-12.240	-95.132
"ZINC000008716931"	-10.878	-95.009
"ZINC000014153608"	-10.026	-94.956
"ZINC000012874194"	-10.228	-94.946
"ZINC000409131317"	-10.055	-94.937
"ZINC000409211774"	-10.522	-94.928
"ZINC000005378175"	-10.244	-94.927
"ZINC000040050522"	-10.944	-94.903
"ZINC000057135144"	-10.015	-94.892
"ZINC000004004899"	-11.669	-94.882
"ZINC000009043923"	-11.647	-94.865
